K,Num Rotations,Num Shifts,Num Shells,Num Sectors,Rotation Angle,Solver,Consensus NClass,Theta,Epsilon,Th_dist,Dist_max,NMI,Runtime
9,2,2,4,3,30,cspa,6,0.01,0.001,15.0,1000,0.280995046453416,5.980280876159668
9,2,2,4,3,30,cspa,6,0.01,0.001,25.0,1000,0.28682390959822596,5.895560026168823
9,2,2,4,3,30,cspa,6,0.01,0.001,45.0,1000,0.30087445412138236,5.7711639404296875
9,2,2,4,3,30,cspa,6,0.01,0.001,,1000,0.30343272347497635,5.970042943954468
9,2,2,4,3,30,cspa,6,0.01,0.0001,5.0,1000,0.4163329636242679,5.973316192626953
9,2,2,4,3,30,cspa,6,0.01,0.0001,15.0,1000,0.28374400049212817,5.833499193191528
9,2,2,4,3,30,cspa,6,0.01,0.0001,25.0,1000,0.30017096819817946,6.574785232543945
9,2,2,4,3,30,cspa,6,0.01,0.0001,45.0,1000,0.31561046701573037,5.71694803237915
9,2,2,4,3,30,cspa,6,0.01,0.0001,,1000,0.3105863749505383,5.834512948989868
9,2,2,4,3,30,cspa,6,0.001,0.001,5.0,1000,0.4810067865799409,5.096804141998291
9,2,2,4,3,30,cspa,6,0.001,0.001,15.0,1000,0.278246012108993,5.860765218734741
9,2,2,4,3,30,cspa,6,0.001,0.001,25.0,1000,0.28624029664508793,6.082258224487305
9,2,2,4,3,30,cspa,6,0.001,0.001,45.0,1000,0.31375954510147175,5.5245139598846436
9,2,2,4,3,30,cspa,6,0.001,0.001,,1000,0.3175037105010928,5.814928770065308
9,2,2,4,3,30,cspa,6,0.001,0.0001,5.0,1000,0.44189411346473007,5.2467200756073
9,2,2,4,3,30,cspa,6,0.001,0.0001,15.0,1000,0.2357824057347376,6.219244956970215
9,2,2,4,3,30,cspa,6,0.001,0.0001,25.0,1000,0.03207581728389152,4.635828018188477
9,2,2,4,3,30,cspa,6,0.001,0.0001,45.0,1000,0.2886389791293059,6.085510969161987
9,2,2,4,3,30,cspa,6,0.001,0.0001,,1000,0.3031511458397692,6.288171052932739
9,2,2,4,3,30,hgpa,9,0.01,0.001,5.0,1000,0.2959953241926553,2.5173752307891846
9,2,2,4,3,30,hgpa,9,0.01,0.001,15.0,1000,0.21804438153984623,2.4611799716949463
9,2,2,4,3,30,hgpa,9,0.01,0.001,25.0,1000,0.2492585530292387,2.5356600284576416
9,2,2,4,3,30,hgpa,9,0.01,0.001,45.0,1000,0.2840730240782747,2.855315923690796
9,2,2,4,3,30,hgpa,9,0.01,0.001,,1000,0.2540749994197564,2.5310418605804443
9,2,2,4,3,30,hgpa,9,0.01,0.0001,5.0,1000,0.31445065369269076,2.8870370388031006
9,2,2,4,3,30,hgpa,9,0.01,0.0001,15.0,1000,0.2265443557953682,3.459351062774658
9,2,2,4,3,30,hgpa,9,0.01,0.0001,25.0,1000,0.21686953807827755,2.6989471912384033
9,2,2,4,3,30,hgpa,9,0.01,0.0001,45.0,1000,0.2594132931566543,2.6557350158691406
9,2,2,4,3,30,hgpa,9,0.01,0.0001,,1000,0.2503474249917785,2.5312180519104004
9,2,2,4,3,30,hgpa,9,0.001,0.001,5.0,1000,0.25940022147346675,2.5684430599212646
9,2,2,4,3,30,hgpa,9,0.001,0.001,15.0,1000,0.22575163510940702,2.4797561168670654
9,2,2,4,3,30,hgpa,9,0.001,0.001,25.0,1000,0.037941956068075,2.34462308883667
9,2,2,4,3,30,hgpa,9,0.001,0.001,45.0,1000,0.24684656281506462,2.459232807159424
9,2,2,4,3,30,hgpa,9,0.001,0.001,,1000,0.25220961771363304,2.4573559761047363
9,2,2,4,3,30,hgpa,9,0.001,0.0001,5.0,1000,0.03563743142172931,2.3511109352111816
9,2,2,4,3,30,hgpa,9,0.001,0.0001,15.0,1000,0.03623762261464087,2.340287923812866
9,2,2,4,3,30,hgpa,9,0.001,0.0001,25.0,1000,0.03918962065130385,2.2876219749450684
9,2,2,4,3,30,hgpa,9,0.001,0.0001,45.0,1000,0.04178500513098122,2.5076229572296143
9,2,2,4,3,30,hgpa,9,0.001,0.0001,,1000,0.034598152181913665,2.298969030380249
9,2,2,4,3,30,hgpa,6,0.01,0.001,5.0,1000,0.32704224632441536,2.7128241062164307
9,2,2,4,3,30,hgpa,6,0.01,0.001,15.0,1000,0.04798690390900001,2.461909055709839
9,2,2,4,3,30,hgpa,6,0.01,0.001,25.0,1000,0.1708190179795496,2.725369930267334
9,2,2,4,3,30,hgpa,6,0.01,0.001,45.0,1000,0.1270273380915755,2.4376399517059326
9,2,2,4,3,30,hgpa,6,0.01,0.001,,1000,0.04396504609042591,2.463162899017334
9,2,2,4,3,30,hgpa,6,0.01,0.0001,5.0,1000,0.3930109973076884,2.5169708728790283
9,2,2,4,3,30,hgpa,6,0.01,0.0001,15.0,1000,0.044108228447430446,2.4661240577697754
9,2,2,4,3,30,hgpa,6,0.01,0.0001,25.0,1000,0.04438647342478159,2.453906774520874
9,2,2,4,3,30,hgpa,6,0.01,0.0001,45.0,1000,0.17832490139638613,2.482172727584839
9,2,2,4,3,30,hgpa,6,0.01,0.0001,,1000,0.19041319155860043,2.4186129570007324
9,2,2,4,3,30,hgpa,6,0.001,0.001,5.0,1000,0.36816006248685673,2.53164005279541
